"id","pred1_total","pred2_total","pred3_total"
1,0,1,0
2,0,0,0
3,0,0,0
4,4,0,0
5,24,3,0
6,0,0,0
7,0,0,0
8,0,0,0
9,2,2,2
10,10,12,0
11,0,1,0
12,0,0,0
13,0,1,0
14,0,1,0
15,0,1,0
16,1,0,0
17,2,6,0
18,7,0,0
19,0,0,0
20,0,0,0
21,2,5,0
22,12,1,2
23,0,7,0
24,34,1,0
25,25,1,2
26,1,3,0
27,33,1,2
28,30,2,0
29,0,0,0
30,27,0,0
31,0,0,0
32,0,0,0
33,0,1,0
34,36,0,2
35,2,0,0
36,21,16,2
37,17,0,0
38,0,0,0
39,1,4,0
40,11,0,0
41,24,1,0
42,0,0,0
43,34,4,0
44,20,0,0
45,2,1,0
46,0,5,1
47,15,1,1
48,0,0,0
49,1,1,0
50,42,1,1
51,6,1,0
52,0,1,0
53,0,0,1
54,30,4,0
55,3,0,0
56,51,3,2
57,3,2,0
58,1,1,0
59,0,0,0
60,0,0,1
61,9,1,0
62,1,0,0
63,0,0,0
64,0,0,0
65,10,1,0
66,0,0,0
67,0,0,0
68,0,0,0
69,0,0,0
70,2,2,0
71,12,1,0
72,0,0,0
73,0,3,0
74,31,1,0
75,0,0,0
76,45,0,0
77,34,0,2
78,20,5,0
79,0,0,2
80,1,0,0
81,50,1,0
82,22,5,0
83,0,0,0
84,1,1,0
85,0,0,0
86,1,1,0
87,0,0,1
88,6,0,0
89,0,0,1
90,27,0,0
91,3,2,1
92,0,0,0
93,0,0,0
94,0,0,0
95,0,0,0
96,0,2,2
97,25,0,1
98,10,1,0
99,0,0,0
100,0,0,0
101,0,3,0
102,2,2,4
103,4,1,0
104,0,2,0
105,8,2,0
106,1,1,0
107,0,1,2
108,0,0,0
109,2,1,0
110,0,0,0
111,9,1,1
112,0,0,0
113,0,0,0
114,15,1,0
115,2,0,0
116,50,5,3
117,23,0,0
118,21,3,1
119,1,2,0
120,0,1,0
121,0,0,0
122,17,0,0
123,0,2,3
124,14,2,3
125,1,0,1
126,11,0,0
127,7,0,0
128,4,0,22
129,39,2,0
130,0,3,0
131,10,1,0
132,0,0,0
133,0,0,0
134,43,3,3
135,0,0,0
136,11,0,0
137,0,0,0
138,0,1,0
139,1,1,0
140,5,1,0
141,11,4,0
142,0,0,0
143,0,0,0
144,0,2,23
145,14,9,5
146,3,5,6
147,2,6,13
148,20,6,0
149,1,0,0
150,19,3,5
151,0,0,0
152,10,3,0
153,7,4,0
154,0,1,0
155,0,1,0
156,0,0,0
157,1,2,0
158,1,4,0
159,2,4,44
160,3,0,0
161,0,0,0
162,0,0,0
163,1,0,0
164,1,0,0
165,2,1,0
166,4,1,0
167,0,0,0
168,0,0,0
169,5,0,0
170,38,0,18
171,0,0,0
172,0,0,0
173,6,0,0
174,0,1,0
175,0,7,0
176,1,5,0
177,0,0,0
178,42,7,32
179,13,0,0
180,0,0,0
181,15,1,0
182,8,0,4
183,3,0,302
184,1,1,0
185,10,0,0
186,0,0,40
187,3,2,0
188,17,3,0
189,1,4,0
190,0,0,0
191,4,0,0
192,2,5,0
193,11,0,0
194,2,0,0
195,9,1,0
196,0,6,0
197,26,4,0
198,9,13,7
199,5,0,0
200,7,2,0
201,5,2,0
202,1,3,0
203,0,0,0
204,0,3,0
205,1,2,0
206,1,2,0
207,0,1,0
208,0,0,0
209,0,13,0
210,0,0,0
211,3,0,0
212,12,7,14
213,0,1,0
214,2,2,6
215,2,1,49
216,1,7,0
217,7,1,0
218,19,0,14
219,0,0,0
220,21,1,3
221,1,2,0
222,0,2,0
223,0,4,0
224,0,2,0
225,0,2,2
226,1,3,133
227,4,1,0
228,1,5,0
229,7,0,0
230,79,8,111
231,0,2,0
232,1,40,0
233,1,0,0
234,12,2,0
235,1,1,2
236,12,1,120
237,4,0,0
238,0,2,0
239,4,1,0
240,6,6,0
241,0,3,0
242,26,0,0
243,1,2,0
244,0,2,0
245,0,1,0
246,30,7,0
247,1,1,0
248,33,3,0
249,20,0,0
250,23,2,0
251,0,4,0
252,7,2,0
253,0,3,0
254,5,1,0
255,0,2,0
256,7,2,0
257,44,2,0
258,7,14,0
259,2,2,0
260,0,0,0
261,0,5,0
262,7,3,0
263,0,4,0
264,0,1,0
265,1,4,0
266,11,0,0
267,7,27,0
268,0,5,0
269,0,1,0
270,8,4,19
271,0,2,0
272,2,3,0
273,0,3,0
274,6,1,1
275,0,0,0
276,6,0,0
277,0,0,0
278,0,0,0
279,0,2,0
280,13,1,0
281,0,0,44
282,1,2,0
283,0,4,0
284,9,1,0
285,0,0,0
286,0,0,0
287,5,1,0
288,13,1,0
289,2,3,0
290,11,3,0
291,1,4,147
292,0,2,0
293,4,5,0
294,0,0,0
295,0,1,0
296,6,0,0
297,9,3,0
298,0,4,0
299,0,0,0
300,9,0,7
301,23,1,0
302,4,1,0
303,4,0,0
304,0,1,0
305,0,0,0
306,2,0,0
307,7,3,0
308,0,0,0
309,7,3,8
310,1,2,0
311,0,0,0
312,28,1,0
313,0,0,0
314,2,2,0
315,0,0,12
316,2,3,0
317,10,4,0
318,0,1,0
319,1,2,0
320,6,1,0
321,3,0,8
322,0,0,0
323,1,0,0
324,0,0,17
325,51,12,101
326,0,1,0
327,0,2,0
328,0,2,0
329,39,7,8
330,6,1,0
331,7,7,4
332,1,0,0
333,12,1,0
334,0,0,0
335,0,0,0
336,0,0,0
337,0,1,0
338,0,3,0
339,27,3,15
340,25,13,45
341,0,0,0
342,4,2,0
343,2,0,0
344,0,0,0
345,5,1,0
346,13,0,0
347,0,0,0
348,20,0,0
349,0,0,0
350,0,0,0
351,0,0,0
352,15,1,0
353,0,0,0
354,13,2,0
355,0,0,0
356,2,3,0
357,0,1,0
358,1,0,0
359,7,1,0
360,0,0,0
361,0,0,0
362,0,1,0
363,14,0,0
364,0,0,0
365,50,2,0
366,1,2,0
367,1,0,0
368,45,6,4
369,0,1,0
370,0,4,0
371,0,0,0
372,0,0,0
373,11,4,0
374,0,0,0
375,4,1,0
376,0,2,0
377,0,1,0
378,10,3,0
379,1,5,2
380,0,2,0
381,0,2,0
382,0,2,146
383,0,1,0
384,0,3,82
385,0,0,0
386,6,1,90
387,0,0,0
388,0,0,0
389,0,0,0
390,0,7,0
391,0,6,0
392,3,4,0
393,3,0,18
394,9,0,0
395,0,1,0
396,0,1,0
397,0,0,0
398,0,0,0
399,3,1,0
400,0,0,0
401,10,2,6
402,0,0,0
403,6,4,0
404,0,0,0
405,8,8,5
406,0,2,0
407,4,0,0
408,0,0,0
409,12,3,5
410,0,0,0
411,7,0,0
412,0,0,0
413,0,2,0
414,2,12,0
415,6,2,0
416,4,2,0
417,0,0,0
418,7,4,0
419,0,0,0
420,21,4,20
421,1,0,0
422,0,0,0
423,0,2,0
424,0,10,0
425,0,1,0
426,0,0,0
427,0,2,0
428,1,1,0
429,1,0,4
430,30,1,0
431,0,0,0
432,0,1,0
433,0,0,0
434,1,0,18
435,0,0,0
436,6,1,0
437,12,3,0
438,25,5,52
439,0,1,0
440,9,0,0
441,2,5,0
442,7,5,45
443,0,0,0
444,0,0,0
445,5,2,0
446,10,1,6
447,10,1,3
448,0,2,0
449,0,0,240
450,0,0,0
451,0,0,0
452,2,7,0
453,5,1,0
454,0,1,0
455,1,1,0
456,0,0,0
457,0,0,0
458,0,2,0
459,0,0,0
460,1,1,0
461,0,3,0
462,0,2,0
463,1,3,0
464,9,10,0
465,2,4,0
466,2,4,0
467,7,5,2
468,6,0,0
469,16,1,0
470,1,0,19
471,1,8,0
472,0,0,0
473,15,1,0
474,0,0,0
475,0,3,0
476,0,0,0
477,0,2,102
478,0,0,0
479,3,4,59
480,1,1,0
481,0,0,0
482,0,3,0
483,0,0,0
484,1,4,0
485,18,8,0
486,0,1,0
487,0,2,0
488,0,1,0
489,3,0,0
490,6,6,0
491,0,2,0
492,0,1,0
493,0,0,0
494,12,10,26
495,0,0,0
496,0,1,0
497,0,0,0
498,0,0,0
499,0,0,0
500,0,0,0
